case,method,seed,gap_mm,bias_rms_mm,n_points,primary,stage,supported_fraction,measured_fit_seconds,freeze_seconds,shared_freeze_plus_fit_seconds,input_edit_rms_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,output,output_sha256,ok,info_method,info_variant,info_sharing,info_budget,info_evaluation_only_oracle,info_sigma_mm,info_frozen_common_sha256,info_freeze_seconds,info_supported_fraction,info_active_point_count,info_point_count,info_input_units,info_gauge,info_observation_source,info_interpretation,info_prior,info_final_action,info_fit_rank,info_fit_parameter_count,info_fit_full_rank,info_fit_condition_number,info_fit_effective_condition_number,info_fit_condition_scope,info_fit_solver,info_intercept_scope,info_slope_scope,info_weighted_measurement_sse_mm2,info_measurement_residual_rms_mm,info_final_fit_row_visits,info_final_fit_design_elements,info_status,info_group_count,info_dictionary_size,info_dictionary_capacity_parameters,info_dictionary_candidate_pair_count,info_association_change_fraction,info_association_change_scope,info_grouping_description,info_search_work_proxy,info_budget_matching_scope,info_search_objective_kind,info_entropy_mean,info_margin_mean,info_confidence_scope,info_responsibility_stage,info_search_seconds,info_final_fit_seconds,info_fit_seconds,info_input_edit_rms_mm,info_actual_changed_fraction,info_output_sha256,info_group_assignment_sha256,info_total_seconds,group_count,evaluation_only_weightless_group_impurity,single_surface_fragment_groups,info_compute_target,info_compute_target_met,info_search_objective,info_local_starts_not_scheduled,info_pooling_merge_count,info_compute_proxy_ratio,info_compute_target_overshoot,info_budget_scope,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
ghost_s912101_b0,identity,912101,0.0,0.0,768,False,public_development,0.0,0.0,0.0,0.0,0.0,True,True,0.8114042921165225,1.0218341833090723,1.985439715662857,0.7161458333333334,0.9778645833333334,0.7513663975182125,1.0,1.0218341833090723,0.8114042921165225,1.0209568799665358,,self-report; not geometry-derived layer count or success,1.0209568799665358,0.042333762269790014,0.06488879060670882,0.06488879060670882,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__identity.npz,a038a616f9979792481b999b410be907b8ec5453277ea82d24d7e20a803df8e5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost_s912101_b0,original_b0_independent,912101,0.0,0.0,768,False,public_development,1.0,0.000577519997023046,0.16137461899779737,0.16195213899482042,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__original_b0_independent.npz,9b36098654ac6d95490f01c0d828d80e6039a288d97e41bb07a262ca979afb10,True,finite_surface_reassociation_v7,original,independent,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,unchanged original compatible groups,0,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",none: fixed original assignments,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0001454720040783286,0.0002603519969852641,0.0005064050055807456,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.16187328399973921,1,0.0,1,,,,,,,,,,,,,,
ghost_s912101_b0,original_b0_shared,912101,0.0,0.0,768,False,public_development,1.0,0.00041279000288341194,0.16137461899779737,0.16178740900068078,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__original_b0_shared.npz,9b36098654ac6d95490f01c0d828d80e6039a288d97e41bb07a262ca979afb10,True,finite_surface_reassociation_v7,original,shared,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,unchanged original compatible groups,0,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",none: fixed original assignments,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",9.467900963500142e-05,0.00017947598826140165,0.0003500930033624172,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.1617169719975209,1,0.0,1,,,,,,,,,,,,,,
ghost_s912101_b0,local_multistart_b1_independent,912101,0.0,0.0,768,False,public_development,1.0,0.009438791006687097,0.16137461899779737,0.17081341000448447,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b1_independent.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,independent,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,3072,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.009059490999788977,0.0002128670021193102,0.009361104996060021,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.1707279839902185,1,0.0,1,2304,False,884.0274521419963,18,8,1.3333333333333333,768,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
ghost_s912101_b0,local_multistart_b1_shared,912101,0.0,0.0,768,False,public_development,1.0,0.00912974399398081,0.16137461899779737,0.17050436299177818,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b1_shared.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,shared,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,3072,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.008784494988503866,0.0001910010032588616,0.00905615498777479,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.17042303398193326,1,0.0,1,2304,False,884.0274521419963,18,8,1.3333333333333333,768,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
ghost_s912101_b0,reassociate_b1_independent,912101,0.0,0.0,768,False,public_development,1.0,0.0008418700017500669,0.16137461899779737,0.16221648899954744,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__reassociate_b1_independent.npz,402f59a2424b094cf5afdd1c1376bc6d980802833497e7e5b08e17daf61386d2,True,finite_surface_reassociation_v7,reassociate,independent,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,2304,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0005277919990476221,0.0001719860010780394,0.0007778639992466196,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.1621447429934051,1,0.0,1,,,397.8382999643875,,,,,,,,,,,
ghost_s912101_b0,reassociate_b1_shared,912101,0.0,0.0,768,False,public_development,1.0,0.0008083159918896854,0.16137461899779737,0.16218293498968706,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__reassociate_b1_shared.npz,402f59a2424b094cf5afdd1c1376bc6d980802833497e7e5b08e17daf61386d2,True,finite_surface_reassociation_v7,reassociate,shared,1,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,2304,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0004815400025108829,0.00016652799968142062,0.0007290060020750389,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.1620958849962335,1,0.0,1,,,397.8382999643875,,,,,,,,,,,
ghost_s912101_b0,local_multistart_b3_independent,912101,0.0,0.0,768,False,public_development,1.0,0.011435175998485647,0.16137461899779737,0.17280979499628302,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b3_independent.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,independent,3,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,6060,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.011076226001023315,0.0001974909973796457,0.011358711999491788,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.17272559099365026,1,0.0,1,5376,False,884.0274521419963,18,8,1.1272321428571428,684,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
ghost_s912101_b0,local_multistart_b3_shared,912101,0.0,0.0,768,False,public_development,1.0,0.011259751991019584,0.16137461899779737,0.17263437098881695,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b3_shared.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,shared,3,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,6060,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.010889989993302152,0.00020538399985525757,0.01118286099517718,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.17254973998933565,1,0.0,1,5376,False,884.0274521419963,18,8,1.1272321428571428,684,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
ghost_s912101_b0,reassociate_b3_independent,912101,0.0,0.0,768,False,public_development,1.0,0.0012524420017143711,0.16137461899779737,0.16262706099951174,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__reassociate_b3_independent.npz,39f89eb83f7a2b9002e9c6c42ec63615ad20d7281f04373b1bdfb1cebaeaa561,True,finite_surface_reassociation_v7,reassociate,independent,3,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,5376,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0009323979902546853,0.00016371600213460624,0.001178302991320379,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.16254518198547885,1,0.0,1,,,397.8382999643875,,,,,,,,,,,
ghost_s912101_b0,reassociate_b3_shared,912101,0.0,0.0,768,False,public_development,1.0,0.0011840520019177347,0.16137461899779737,0.1625586709997151,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__reassociate_b3_shared.npz,39f89eb83f7a2b9002e9c6c42ec63615ad20d7281f04373b1bdfb1cebaeaa561,True,finite_surface_reassociation_v7,reassociate,shared,3,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,5376,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0008539420086890459,0.0001837780000641942,0.0011202840105397627,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.16248716300469823,1,0.0,1,,,397.8382999643875,,,,,,,,,,,
ghost_s912101_b0,local_multistart_b6_independent,912101,0.0,0.0,768,False,public_development,1.0,0.013653157991939224,0.16137461899779737,0.1750277769897366,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b6_independent.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,independent,6,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,10668,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.013282728003105149,0.00020674899860750884,0.01357520000601653,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.174942079000175,1,0.0,1,9984,True,884.0274521419963,18,8,1.0685096153846154,684,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
ghost_s912101_b0,local_multistart_b6_shared,912101,0.0,0.0,768,False,public_development,1.0,0.013744162002694793,0.16137461899779737,0.17511878100049216,1.0205549918394854,True,True,0.04259948388323872,0.05092123794141834,0.08767595216657237,1.0,1.0,0.04375386721030452,1.0,0.05140573428547497,0.04259948388323872,0.02831594544809564,,self-report; not geometry-derived layer count or success,0.029178242074457166,0.04232233106615506,0.06254876399133667,0.06254876399133667,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/ghost_s912101_b0__local_multistart_b6_shared.npz,3f9f65386633414c2e25ed4b52c45c7aeb2d1861ce70be5c30376f3a311162ec,True,finite_surface_reassociation_v7,local_multistart,shared,6,False,1.0,826f068509757cc13ac20c36f42f1aef741d11af71e0c1dd04d3bf689cf0ec11,0.16136687899415847,1.0,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",3,3,True,1.6565706635841384,1.6565706635841384,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,795.676599928775,1.0186757263181994,768,2304,APPLY,1,1,3,768,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,10668,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.013378185001784004,0.00020367799152154475,0.013667629013070837,1.0205549918394854,1.0,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,f37c355086b11ffeb1e8de61928e58008f3996416ffdf1b42aa569c731b3512c,0.1750345080072293,1,0.0,1,9984,True,884.0274521419963,18,8,1.0685096153846154,684,search plus final local sufficient fits; final pooling and output fit separately timed,,,,,,
