case,seed,f_big,n_calibration,selector,subset,n,n_rejected,rejection_rate,max_bh_margin,bh_rejections,p_floor_min,p_floor_max,observation_sha256,selector_input_sha256,calibration_prefix_sha256,p_sha256
seed103_fbig0.01,103,0.01,32000,bh,back_within_tolerance,995,0,0.0,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,all,20000,2873,0.14365,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,big,202,169,0.8366336633663366,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,within_tolerance,19568,2612,0.13348323793949304,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,outside_tolerance,432,261,0.6041666666666666,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,misfit,540,433,0.8018518518518518,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,twosheet_back,1000,790,0.79,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,twosheet_front,1000,73,0.073,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,base,17258,1408,0.08158535172094102,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,wrong_association,2564,359,0.14001560062402496,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,misfit_within_tolerance,529,425,0.8034026465028355,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
seed103_fbig0.01,103,0.01,32000,pointwise,back_within_tolerance,995,788,0.7919597989949749,-6.473285335354301e-05,0,9.313588525658937e-05,9.473285335354301e-05,bb0ba70d25f98f10aba4e4f9b7131b88c073ba9830fd199e78cd89a52a32b82a,acb421b09cf2fdd98a62ef6d711f158d3cc14a162e927563103cd6d01ef1a69f,f865387bf96e142df5df5a309dee7a41eab3e26b1a6668b0c47c2328b85bb29c,e900970107cc4dd46fb5474cf85a7d68782d600f5c70e0f73e92e5b716f26cbc
